"","Year","Pick","Name","Team"
"1148",2000,17,"Desmond Mason","Seattle SuperSonics"
"1149",2000,18,"Quentin Richardson","Los Angeles Clippers"
"1150",2000,19,"Jamaal Magloire","Charlotte Hornets"
"1151",2000,20,"Speedy Claxton","Philadelphia 76ers"
"1152",2000,21,"Morris Peterson","Toronto Raptors"
"1153",2000,22,"Donnell Harvey","New York Knicks"
"1154",2000,23,"DeShawn Stevenson","Utah Jazz"
"1155",2000,24,"Dalibor Bagaric","Chicago Bulls"
"1156",2000,25,"Jake Tsakalidis","Phoenix Suns"
"1157",2000,26,"Mamadou N'diaye","Denver Nuggets"
"1158",2000,27,"Primoz Brezec","Indiana Pacers"
"1159",2000,28,"Erick Barkley","Portland Trail Blazers"
"1160",2000,29,"Mark Madsen","Los Angeles Lakers"
"1161",2000,30,"Marko Jaric","Los Angeles Clippers"
"1162",2000,31,"Dan Langhi","Dallas Mavericks"
"1163",2000,32,"A.J. Guyton","Chicago Bulls"
"1164",2000,33,"Jake Voskuhl","Chicago Bulls"
"1165",2000,34,"Khalid El-Amin","Chicago Bulls"
"1166",2000,35,"Mike Smith","Washington Wizards"
"1167",2000,36,"Soumaila Samake","New Jersey Nets"
"1168",2000,37,"Eddie House","Miami Heat"
"1169",2000,38,"Eduardo Najera","Houston Rockets"
"1170",2000,39,"Lavor Postell","New York Knicks"
"1171",2000,40,"Hanno Mottola","Atlanta Hawks"
"1172",2000,41,"Chris Carrawell","San Antonio Spurs"
"1173",2000,42,"Olumide Oyedeji","Seattle SuperSonics"
"1174",2000,43,"Michael Redd","Milwaukee Bucks"
"1175",2000,44,"Brian Cardinal","Detroit Pistons"
"1176",2000,45,"Jabari Smith","Sacramento Kings"
"1177",2000,46,"DeeAndre Hulett","Toronto Raptors"
"1178",2000,47,"Josip Sesar","Seattle SuperSonics"
"1179",2000,48,"Mark Karcher","Philadelphia 76ers"
"1180",2000,49,"Jason Hart","Milwaukee Bucks"
"1181",2000,50,"Kaniel Dickens","Utah Jazz"
"1182",2000,51,"Igor Rakocevic","Minnesota Timberwolves"
"1183",2000,52,"Ernest Brown","Miami Heat"
"1184",2000,53,"Dan McClintock","Denver Nuggets"
"1185",2000,54,"Cory Hightower","San Antonio Spurs"
"1186",2000,55,"Chris Porter","Golden State Warriors"
