,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[137],-2.264,1.321,-4.787,0.115,0.025,0.02,2834.0,1277.0,1.0
x[138],-0.453,1.442,-3.052,2.35,0.024,0.033,3716.0,1505.0,1.0
x[139],-0.936,1.083,-3.135,1.017,0.018,0.021,3601.0,1402.0,1.0
x[140],-0.323,1.08,-2.355,1.847,0.016,0.028,4699.0,1400.0,1.0
x[141],-0.947,1.419,-3.477,1.856,0.022,0.027,4220.0,1581.0,1.0
x[142],-0.176,1.38,-2.988,2.182,0.023,0.032,3652.0,1438.0,1.0
x[143],-1.29,1.151,-3.417,0.702,0.021,0.022,2952.0,1255.0,1.01
x[144],-0.159,0.971,-2.109,1.514,0.015,0.027,4093.0,1231.0,1.0
x[145],0.355,1.438,-2.305,3.007,0.026,0.031,3146.0,1520.0,1.0
x[146],-0.641,1.46,-3.474,1.98,0.03,0.038,2328.0,1025.0,1.0
x[147],0.344,1.584,-2.612,3.316,0.028,0.038,3151.0,1288.0,1.0
x[148],-0.844,2.212,-4.715,3.806,0.042,0.053,2731.0,1314.0,1.0
x[149],-0.944,1.326,-3.327,1.587,0.021,0.025,4096.0,1492.0,1.0
